NR_PEDIDO_PARTICIPA;DT_PESQUISA_SATISFACAO;DS_QUESTAO;DS_ALTERNATIVA
LAI-000084/2022;07/12/2022 17:15;Nos ajude fazendo mais observações de como foi sua experiência aqui.;Subjetiva
LAI-000103/2022;07/12/2022 17:16;Nos ajude fazendo mais observações de como foi sua experiência aqui.;Subjetiva
LAI-002033/2022;16/12/2022 18:32;Nos ajude fazendo mais observações de como foi sua experiência aqui.;Subjetiva
LAI-001068/2022;20/12/2022 15:22;Nos ajude fazendo mais observações de como foi sua experiência aqui.;Subjetiva
LAI-002156/2022;21/12/2022 12:12;Nos ajude fazendo mais observações de como foi sua experiência aqui.;Subjetiva
LAI-002832/2022;21/12/2022 16:55;Nos ajude fazendo mais observações de como foi sua experiência aqui.;Subjetiva
LAI-002166/2022;24/12/2022 12:14;Nos ajude fazendo mais observações de como foi sua experiência aqui.;Subjetiva
LAI-003127/2022;27/12/2022 21:08;Nos ajude fazendo mais observações de como foi sua experiência aqui.;Subjetiva
LAI-003312/2022;28/12/2022 13:49;Nos ajude fazendo mais observações de como foi sua experiência aqui.;Subjetiva
LAI-003270/2022;28/12/2022 15:55;Nos ajude fazendo mais observações de como foi sua experiência aqui.;Subjetiva
LAI-003243/2022;29/12/2022 13:41;Nos ajude fazendo mais observações de como foi sua experiência aqui.;Subjetiva
LAI-003357/2022;02/01/2023 15:17;Nos ajude fazendo mais observações de como foi sua experiência aqui.;Subjetiva
LAI-003385/2022;03/01/2023 17:50;Nos ajude fazendo mais observações de como foi sua experiência aqui.;Subjetiva
LAI-000025/2023;04/01/2023 15:07;Nos ajude fazendo mais observações de como foi sua experiência aqui.;Subjetiva
LAI-000162/2023;05/01/2023 19:58;Nos ajude fazendo mais observações de como foi sua experiência aqui.;Subjetiva
LAI-000208/2023;06/01/2023 15:07;Nos ajude fazendo mais observações de como foi sua experiência aqui.;Subjetiva
LAI-000153/2023;06/01/2023 15:35;Nos ajude fazendo mais observações de como foi sua experiência aqui.;Subjetiva
LAI-002021/2022;09/01/2023 03:36;Nos ajude fazendo mais observações de como foi sua experiência aqui.;Subjetiva
LAI-003244/2022;09/01/2023 11:17;Nos ajude fazendo mais observações de como foi sua experiência aqui.;Subjetiva
LAI-000152/2023;10/01/2023 11:18;Nos ajude fazendo mais observações de como foi sua experiência aqui.;Subjetiva
LAI-003193/2022;10/01/2023 13:28;Nos ajude fazendo mais observações de como foi sua experiência aqui.;Subjetiva
LAI-000102/2023;11/01/2023 15:13;Nos ajude fazendo mais observações de como foi sua experiência aqui.;Subjetiva
LAI-000380/2023;11/01/2023 16:37;Nos ajude fazendo mais observações de como foi sua experiência aqui.;Subjetiva
LAI-000392/2023;12/01/2023 10:01;Nos ajude fazendo mais observações de como foi sua experiência aqui.;Subjetiva
LAI-002731/2022;12/01/2023 16:54;Nos ajude fazendo mais observações de como foi sua experiência aqui.;Subjetiva
LAI-003231/2022;12/01/2023 18:28;Nos ajude fazendo mais observações de como foi sua experiência aqui.;Subjetiva
LAI-000043/2023;12/01/2023 22:45;Nos ajude fazendo mais observações de como foi sua experiência aqui.;Subjetiva
LAI-000155/2023;13/01/2023 13:10;Nos ajude fazendo mais observações de como foi sua experiência aqui.;Subjetiva
LAI-000206/2023;13/01/2023 13:21;Nos ajude fazendo mais observações de como foi sua experiência aqui.;Subjetiva
LAI-003245/2022;14/01/2023 09:20;Nos ajude fazendo mais observações de como foi sua experiência aqui.;Subjetiva
LAI-000379/2023;14/01/2023 16:38;Nos ajude fazendo mais observações de como foi sua experiência aqui.;Subjetiva
LAI-000355/2023;16/01/2023 09:34;Nos ajude fazendo mais observações de como foi sua experiência aqui.;Subjetiva
LAI-001291/2022;16/01/2023 10:06;Nos ajude fazendo mais observações de como foi sua experiência aqui.;Subjetiva
LAI-000159/2023;16/01/2023 13:12;Nos ajude fazendo mais observações de como foi sua experiência aqui.;Subjetiva
LAI-000488/2023;17/01/2023 08:37;Nos ajude fazendo mais observações de como foi sua experiência aqui.;Subjetiva
LAI-000543/2023;17/01/2023 14:41;Nos ajude fazendo mais observações de como foi sua experiência aqui.;Subjetiva
LAI-000601/2023;17/01/2023 16:02;Nos ajude fazendo mais observações de como foi sua experiência aqui.;Subjetiva
LAI-000089/2023;17/01/2023 17:32;Nos ajude fazendo mais observações de como foi sua experiência aqui.;Subjetiva
LAI-000087/2023;17/01/2023 17:34;Nos ajude fazendo mais observações de como foi sua experiência aqui.;Subjetiva
LAI-000633/2023;18/01/2023 06:58;Nos ajude fazendo mais observações de como foi sua experiência aqui.;Subjetiva
LAI-000631/2023;18/01/2023 06:59;Nos ajude fazendo mais observações de como foi sua experiência aqui.;Subjetiva
LAI-000482/2023;18/01/2023 09:35;Nos ajude fazendo mais observações de como foi sua experiência aqui.;Subjetiva
LAI-000158/2023;18/01/2023 15:44;Nos ajude fazendo mais observações de como foi sua experiência aqui.;Subjetiva
LAI-000042/2023;18/01/2023 17:37;Nos ajude fazendo mais observações de como foi sua experiência aqui.;Subjetiva
LAI-000045/2023;18/01/2023 18:39;Nos ajude fazendo mais observações de como foi sua experiência aqui.;Subjetiva
LAI-003159/2022;18/01/2023 21:38;Nos ajude fazendo mais observações de como foi sua experiência aqui.;Subjetiva
LAI-000289/2023;19/01/2023 18:49;Nos ajude fazendo mais observações de como foi sua experiência aqui.;Subjetiva
LAI-000655/2023;19/01/2023 19:34;Nos ajude fazendo mais observações de como foi sua experiência aqui.;Subjetiva
LAI-000203/2022;15/06/2023 10:50;Nos ajude fazendo mais observações de como foi sua experiência aqui.;Subjetiva
LAI-000150/2023;20/01/2023 12:03;Nos ajude fazendo mais observações de como foi sua experiência aqui.;Subjetiva
LAI-000588/2023;22/01/2023 21:45;Nos ajude fazendo mais observações de como foi sua experiência aqui.;Subjetiva
LAI-000290/2023;23/01/2023 11:44;Nos ajude fazendo mais observações de como foi sua experiência aqui.;Subjetiva
LAI-001289/2022;23/01/2023 20:00;Nos ajude fazendo mais observações de como foi sua experiência aqui.;Subjetiva
LAI-000657/2023;23/01/2023 21:32;Nos ajude fazendo mais observações de como foi sua experiência aqui.;Subjetiva
LAI-000118/2023;25/01/2023 08:56;Nos ajude fazendo mais observações de como foi sua experiência aqui.;Subjetiva
LAI-000846/2023;26/01/2023 03:22;Nos ajude fazendo mais observações de como foi sua experiência aqui.;Subjetiva
LAI-000716/2023;26/01/2023 07:39;Nos ajude fazendo mais observações de como foi sua experiência aqui.;Subjetiva
