NR_PEDIDO_PARTICIPA;DT_RECURSO;ID_PEDIDO;DS_JUSTIFICATIVA_RECURSO;DS_INSTANCIA;DT_INICIO_PRAZO_RECURSO;DT_TERMINO_PRAZO_RECURSO;RESPOSTAS.DT_RESPOSTA;RESPOSTAS.DS_TIPO_RESPOSTA;RESPOSTAS.DS_CLASSIFICACAO_RESPOSTA;RESPOSTAS.DS_TIPO_CLASSIFICACAO_RESPOSTA
LAI-002719/2022;20/12/2022 15:42;2719;Informação incompleta;Primeira Instância;21/12/2022 00:00;26/12/2022 23:59;21/12/2022 08:47;Resposta do Recurso de Primeira Instância;Deferido;Respostas Para Recursos
LAI-002725/2022;20/12/2022 15:43;2725;Informação incompleta;Primeira Instância;21/12/2022 00:00;26/12/2022 23:59;20/12/2022 16:24;Resposta do Recurso de Primeira Instância;Deferido;Respostas Para Recursos
LAI-002709/2022;20/12/2022 15:43;2709;Informação incompleta;Primeira Instância;21/12/2022 00:00;26/12/2022 23:59;20/12/2022 15:48;Resposta do Recurso de Primeira Instância;Deferido;Respostas Para Recursos
LAI-002710/2022;20/12/2022 15:44;2710;Informação incompleta;Primeira Instância;21/12/2022 00:00;26/12/2022 23:59;21/12/2022 08:54;Resposta do Recurso de Primeira Instância;Deferido;Respostas Para Recursos
LAI-002694/2022;20/12/2022 15:47;2694;Informação incompleta;Primeira Instância;21/12/2022 00:00;26/12/2022 23:59;21/12/2022 08:53;Resposta do Recurso de Primeira Instância;Deferido;Respostas Para Recursos
LAI-002687/2022;20/12/2022 15:47;2687;Informação incompleta;Primeira Instância;21/12/2022 00:00;26/12/2022 23:59;20/12/2022 18:06;Resposta do Recurso de Primeira Instância;Deferido;Respostas Para Recursos
LAI-002688/2022;20/12/2022 15:48;2688;Informação incompleta;Primeira Instância;21/12/2022 00:00;26/12/2022 23:59;21/12/2022 08:50;Resposta do Recurso de Primeira Instância;Deferido;Respostas Para Recursos
LAI-002714/2022;20/12/2022 19:09;2714;Informação incompleta;Primeira Instância;21/12/2022 00:00;26/12/2022 23:59;26/12/2022 14:45;Resposta do Recurso de Primeira Instância;Deferido;Respostas Para Recursos
LAI-002718/2022;21/12/2022 11:36;2718;Informação incompleta;Primeira Instância;22/12/2022 00:00;26/12/2022 23:59;22/12/2022 11:20;Resposta do Recurso de Primeira Instância;Deferido;Respostas Para Recursos
LAI-002716/2022;28/12/2022 14:44;2716;Informação incompleta;Primeira Instância;29/12/2022 00:00;02/01/2023 23:59;02/01/2023 21:58;Resposta do Recurso de Primeira Instância;Deferido;Respostas Para Recursos
LAI-002724/2022;28/12/2022 14:44;2724;Informação incompleta;Primeira Instância;29/12/2022 00:00;02/01/2023 23:59;02/01/2023 22:00;Resposta do Recurso de Primeira Instância;Deferido;Respostas Para Recursos
LAI-003163/2022;05/01/2023 11:12;3163;Informação incompleta;Primeira Instância;06/01/2023 00:00;10/01/2023 23:59;09/01/2023 12:14;Resposta do Recurso de Primeira Instância;Deferido;Respostas Para Recursos
LAI-003244/2022;09/01/2023 11:15;3244;Informação incompleta;Primeira Instância;10/01/2023 00:00;16/01/2023 23:59;10/01/2023 14:02;Resposta do Recurso de Primeira Instância;Deferido;Respostas Para Recursos
LAI-003186/2022;10/01/2023 22:44;3186;Informação incompleta;Primeira Instância;11/01/2023 00:00;16/01/2023 23:59;16/01/2023 19:12;Resposta do Recurso de Primeira Instância;Deferido;Respostas Para Recursos
LAI-003271/2022;11/01/2023 17:31;3271;Informação incompleta;Primeira Instância;12/01/2023 00:00;16/01/2023 23:59;13/01/2023 17:04;Resposta do Recurso de Primeira Instância;Deferido;Respostas Para Recursos
LAI-003226/2022;16/01/2023 11:17;3226;Informação incompleta;Primeira Instância;17/01/2023 00:00;23/01/2023 23:59;23/01/2023 17:15;Resposta do Recurso de Primeira Instância;Deferido;Respostas Para Recursos
LAI-000220/2023;16/01/2023 13:29;3616;Informação incompleta;Primeira Instância;17/01/2023 00:00;23/01/2023 23:59;23/01/2023 21:44;Resposta do Recurso de Primeira Instância;Deferido;Respostas Para Recursos
LAI-000430/2023;17/01/2023 16:07;3826;Informação incompleta;Primeira Instância;18/01/2023 00:00;23/01/2023 23:59;18/01/2023 16:28;Resposta do Recurso de Primeira Instância;Deferido;Respostas Para Recursos
LAI-000214/2023;20/01/2023 16:37;3610;Informação incompleta;Primeira Instância;23/01/2023 00:00;27/01/2023 23:59;27/01/2023 13:30;Resposta do Recurso de Primeira Instância;Deferido;Respostas Para Recursos
LAI-000499/2023;23/01/2023 12:51;3895;Informação incompleta;Primeira Instância;24/01/2023 00:00;30/01/2023 23:59;26/01/2023 15:29;Resposta do Recurso de Primeira Instância;Deferido;Respostas Para Recursos
LAI-001007/2023;26/01/2023 13:10;4403;Informação incompleta;Primeira Instância;27/01/2023 00:00;31/01/2023 23:59;26/01/2023 16:07;Resposta do Recurso de Primeira Instância;Deferido;Respostas Para Recursos
LAI-000743/2023;30/01/2023 12:07;4139;Informação incompleta;Primeira Instância;31/01/2023 00:00;06/02/2023 23:59;06/02/2023 19:21;Resposta do Recurso de Primeira Instância;Deferido;Respostas Para Recursos
LAI-000835/2023;01/02/2023 11:33;4231;Informação incompleta;Primeira Instância;02/02/2023 00:00;06/02/2023 23:59;06/02/2023 11:56;Resposta do Recurso de Primeira Instância;Deferido;Respostas Para Recursos
LAI-000500/2023;03/02/2023 17:20;3896;Informação incompleta;Primeira Instância;06/02/2023 00:00;10/02/2023 23:59;06/02/2023 09:58;Resposta do Recurso de Primeira Instância;Deferido;Respostas Para Recursos
LAI-001161/2023;05/02/2023 10:01;4557;Informação incompleta;Primeira Instância;06/02/2023 00:00;10/02/2023 23:59;10/02/2023 19:18;Resposta do Recurso de Primeira Instância;Deferido;Respostas Para Recursos
LAI-000810/2023;06/02/2023 10:04;4206;Informação incompleta;Primeira Instância;07/02/2023 00:00;13/02/2023 23:59;13/02/2023 11:05;Resposta do Recurso de Primeira Instância;Deferido;Respostas Para Recursos
LAI-001545/2023;13/02/2023 11:05;4941;Informação incompleta;Primeira Instância;14/02/2023 00:00;22/02/2023 23:59;13/02/2023 11:47;Resposta do Recurso de Primeira Instância;Deferido;Respostas Para Recursos
LAI-002058/2023;15/02/2023 17:08;5454;Informação incompleta;Primeira Instância;16/02/2023 00:00;22/02/2023 23:59;22/02/2023 16:31;Resposta do Recurso de Primeira Instância;Deferido;Respostas Para Recursos
LAI-000703/2023;16/02/2023 13:23;4099;Informação incompleta;Primeira Instância;17/02/2023 00:00;22/02/2023 23:59;22/02/2023 14:14;Resposta do Recurso de Primeira Instância;Deferido;Respostas Para Recursos
LAI-001948/2023;17/02/2023 12:11;5344;Informação incompleta;Primeira Instância;22/02/2023 00:00;27/02/2023 23:59;17/02/2023 14:53;Resposta do Recurso de Primeira Instância;Deferido;Respostas Para Recursos
LAI-001538/2023;20/02/2023 10:17;4934;Informação incompleta;Primeira Instância;22/02/2023 00:00;27/02/2023 23:59;27/02/2023 09:11;Resposta do Recurso de Primeira Instância;Deferido;Respostas Para Recursos
LAI-002143/2023;23/02/2023 12:48;5539;Informação incompleta;Primeira Instância;24/02/2023 00:00;28/02/2023 23:59;24/02/2023 07:19;Resposta do Recurso de Primeira Instância;Deferido;Respostas Para Recursos
LAI-002272/2023;25/02/2023 06:59;5668;Informação incompleta;Primeira Instância;27/02/2023 00:00;03/03/2023 23:59;03/03/2023 14:58;Resposta do Recurso de Primeira Instância;Deferido;Respostas Para Recursos
LAI-000814/2023;25/02/2023 15:44;4210;Informação incompleta;Primeira Instância;27/02/2023 00:00;03/03/2023 23:59;28/02/2023 09:40;Resposta do Recurso de Primeira Instância;Deferido;Respostas Para Recursos
LAI-001586/2023;27/02/2023 16:01;4982;Informação incompleta;Primeira Instância;28/02/2023 00:00;06/03/2023 23:59;28/02/2023 14:41;Resposta do Recurso de Primeira Instância;Deferido;Respostas Para Recursos
LAI-001805/2023;28/02/2023 21:58;5201;Informação incompleta;Primeira Instância;01/03/2023 00:00;06/03/2023 23:59;06/03/2023 22:28;Resposta do Recurso de Primeira Instância;Deferido;Respostas Para Recursos
LAI-002801/2023;04/03/2023 11:31;6197;Informação incompleta;Primeira Instância;06/03/2023 00:00;10/03/2023 23:59;10/03/2023 09:57;Resposta do Recurso de Primeira Instância;Deferido;Respostas Para Recursos
LAI-001099/2023;14/03/2023 20:44;4495;Informação incompleta;Primeira Instância;15/03/2023 00:00;20/03/2023 23:59;20/03/2023 15:46;Resposta do Recurso de Primeira Instância;Deferido;Respostas Para Recursos
LAI-003266/2023;15/03/2023 23:22;6662;Informação incompleta;Primeira Instância;16/03/2023 00:00;20/03/2023 23:59;20/03/2023 16:09;Resposta do Recurso de Primeira Instância;Deferido;Respostas Para Recursos
LAI-002735/2023;16/03/2023 00:32;6131;Informação incompleta;Primeira Instância;17/03/2023 00:00;21/03/2023 23:59;21/03/2023 16:40;Resposta do Recurso de Primeira Instância;Deferido;Respostas Para Recursos
LAI-002157/2023;16/03/2023 12:37;5553;Informação incompleta;Primeira Instância;17/03/2023 00:00;21/03/2023 23:59;21/03/2023 15:11;Resposta do Recurso de Primeira Instância;Deferido;Respostas Para Recursos
LAI-003714/2023;17/03/2023 17:13;7110;Informação incompleta;Primeira Instância;20/03/2023 00:00;24/03/2023 23:59;24/03/2023 12:00;Resposta do Recurso de Primeira Instância;Deferido;Respostas Para Recursos
LAI-004162/2023;20/03/2023 09:30;7558;Informação incompleta;Primeira Instância;21/03/2023 00:00;27/03/2023 23:59;21/03/2023 12:36;Resposta do Recurso de Primeira Instância;Deferido;Respostas Para Recursos
LAI-003833/2023;20/03/2023 19:33;7229;Informação incompleta;Primeira Instância;21/03/2023 00:00;27/03/2023 23:59;22/03/2023 10:52;Resposta do Recurso de Primeira Instância;Deferido;Respostas Para Recursos
LAI-002740/2023;22/03/2023 08:33;6136;Informação incompleta;Primeira Instância;23/03/2023 00:00;27/03/2023 23:59;27/03/2023 15:32;Resposta do Recurso de Primeira Instância;Deferido;Respostas Para Recursos
LAI-003487/2023;22/03/2023 09:53;6883;Informação incompleta;Primeira Instância;23/03/2023 00:00;27/03/2023 23:59;27/03/2023 15:02;Resposta do Recurso de Primeira Instância;Deferido;Respostas Para Recursos
LAI-002156/2023;27/03/2023 17:56;5552;Informação incompleta;Primeira Instância;28/03/2023 00:00;03/04/2023 23:59;28/03/2023 09:23;Resposta do Recurso de Primeira Instância;Deferido;Respostas Para Recursos
LAI-004041/2023;28/03/2023 22:19;7437;Informação incompleta;Primeira Instância;29/03/2023 00:00;03/04/2023 23:59;30/03/2023 14:01;Resposta do Recurso de Primeira Instância;Deferido;Respostas Para Recursos
LAI-004943/2023;31/03/2023 09:45;8339;Informação incompleta;Primeira Instância;03/04/2023 00:00;10/04/2023 23:59;03/04/2023 17:47;Resposta do Recurso de Primeira Instância;Deferido;Respostas Para Recursos
LAI-003299/2023;05/04/2023 17:35;6695;Informação incompleta;Primeira Instância;10/04/2023 00:00;14/04/2023 23:59;06/04/2023 15:13;Resposta do Recurso de Primeira Instância;Deferido;Respostas Para Recursos
LAI-004959/2023;11/04/2023 08:37;8355;Informação incompleta;Primeira Instância;12/04/2023 00:00;17/04/2023 23:59;11/04/2023 08:50;Resposta do Recurso de Primeira Instância;Deferido;Respostas Para Recursos
LAI-005011/2023;13/04/2023 16:27;8407;Informação incompleta;Primeira Instância;14/04/2023 00:00;18/04/2023 23:59;13/04/2023 19:26;Resposta do Recurso de Primeira Instância;Deferido;Respostas Para Recursos
LAI-004168/2023;11/04/2023 08:51;7564;Informação incompleta;Primeira Instância;12/04/2023 00:00;17/04/2023 23:59;17/04/2023 11:05;Resposta do Recurso de Primeira Instância;Deferido;Respostas Para Recursos
LAI-003834/2023;13/04/2023 19:24;7230;Informação incompleta;Primeira Instância;14/04/2023 00:00;18/04/2023 23:59;18/04/2023 09:28;Resposta do Recurso de Primeira Instância;Deferido;Respostas Para Recursos
LAI-004347/2023;19/04/2023 09:17;7743;Informação incompleta;Primeira Instância;20/04/2023 00:00;24/04/2023 23:59;24/04/2023 15:40;Resposta do Recurso de Primeira Instância;Deferido;Respostas Para Recursos
LAI-004705/2023;17/04/2023 23:09;8101;Informação incompleta;Primeira Instância;18/04/2023 00:00;24/04/2023 23:59;24/04/2023 16:53;Resposta do Recurso de Primeira Instância;Deferido;Respostas Para Recursos
LAI-004927/2023;24/04/2023 17:14;8323;Informação incompleta;Primeira Instância;25/04/2023 00:00;02/05/2023 23:59;02/05/2023 17:36;Resposta do Recurso de Primeira Instância;Deferido;Respostas Para Recursos
LAI-003938/2023;24/04/2023 14:23;7334;Informação incompleta;Primeira Instância;25/04/2023 00:00;02/05/2023 23:59;02/05/2023 20:01;Resposta do Recurso de Primeira Instância;Deferido;Respostas Para Recursos
LAI-005067/2023;27/04/2023 11:07;8463;Informação incompleta;Primeira Instância;28/04/2023 00:00;02/05/2023 23:59;02/05/2023 17:19;Resposta do Recurso de Primeira Instância;Deferido;Respostas Para Recursos
LAI-005073/2023;02/05/2023 22:36;8469;Informação incompleta;Primeira Instância;03/05/2023 00:00;08/05/2023 23:59;08/05/2023 14:08;Resposta do Recurso de Primeira Instância;Deferido;Respostas Para Recursos
LAI-005093/2023;15/04/2023 08:58;8489;Informação incompleta;Primeira Instância;17/04/2023 00:00;24/04/2023 23:59;24/04/2023 22:42;Resposta do Recurso de Primeira Instância;Deferido;Respostas Para Recursos
LAI-005195/2023;03/05/2023 17:58;8591;Informação incompleta;Primeira Instância;04/05/2023 00:00;08/05/2023 23:59;08/05/2023 18:01;Resposta do Recurso de Primeira Instância;Deferido;Respostas Para Recursos
LAI-005256/2023;25/04/2023 09:58;8652;Informação incompleta;Primeira Instância;26/04/2023 00:00;02/05/2023 23:59;25/04/2023 16:04;Resposta do Recurso de Primeira Instância;Deferido;Respostas Para Recursos
LAI-005347/2023;26/04/2023 15:58;8743;Informação incompleta;Primeira Instância;27/04/2023 00:00;02/05/2023 23:59;27/04/2023 15:30;Resposta do Recurso de Primeira Instância;Deferido;Respostas Para Recursos
LAI-005400/2023;05/04/2023 14:13;8796;Informação incompleta;Primeira Instância;10/04/2023 00:00;14/04/2023 23:59;13/04/2023 11:17;Resposta do Recurso de Primeira Instância;Deferido;Respostas Para Recursos
LAI-005403/2023;18/04/2023 00:52;8799;Informação incompleta;Primeira Instância;19/04/2023 00:00;24/04/2023 23:59;24/04/2023 18:03;Resposta do Recurso de Primeira Instância;Deferido;Respostas Para Recursos
LAI-005427/2023;11/04/2023 14:34;8823;Informação incompleta;Primeira Instância;12/04/2023 00:00;17/04/2023 23:59;11/04/2023 15:33;Resposta do Recurso de Primeira Instância;Deferido;Respostas Para Recursos
LAI-005486/2023;18/04/2023 00:48;8882;Informação incompleta;Primeira Instância;19/04/2023 00:00;24/04/2023 23:59;24/04/2023 18:07;Resposta do Recurso de Primeira Instância;Deferido;Respostas Para Recursos
LAI-005559/2023;15/05/2023 10:19;8955;Informação incompleta;Primeira Instância;16/05/2023 00:00;22/05/2023 23:59;16/05/2023 11:48;Resposta do Recurso de Primeira Instância;Deferido;Respostas Para Recursos
LAI-005622/2023;27/04/2023 10:50;9018;Informação incompleta;Primeira Instância;28/04/2023 00:00;02/05/2023 23:59;02/05/2023 17:17;Resposta do Recurso de Primeira Instância;Deferido;Respostas Para Recursos
LAI-005677/2023;14/05/2023 20:59;9073;Informação incompleta;Primeira Instância;15/05/2023 00:00;19/05/2023 23:59;17/05/2023 14:45;Resposta do Recurso de Primeira Instância;Deferido;Respostas Para Recursos
LAI-005684/2023;19/04/2023 09:56;9080;Informação incompleta;Primeira Instância;20/04/2023 00:00;24/04/2023 23:59;24/04/2023 08:17;Resposta do Recurso de Primeira Instância;Deferido;Respostas Para Recursos
LAI-005709/2023;13/05/2023 11:11;9105;Informação incompleta;Primeira Instância;15/05/2023 00:00;19/05/2023 23:59;19/05/2023 14:05;Resposta do Recurso de Primeira Instância;Deferido;Respostas Para Recursos
LAI-005933/2023;27/04/2023 00:33;9329;Informação incompleta;Primeira Instância;28/04/2023 00:00;02/05/2023 23:59;02/05/2023 16:16;Resposta do Recurso de Primeira Instância;Deferido;Respostas Para Recursos
LAI-006055/2023;17/04/2023 13:06;9451;Informação incompleta;Primeira Instância;18/04/2023 00:00;24/04/2023 23:59;24/04/2023 12:00;Resposta do Recurso de Primeira Instância;Deferido;Respostas Para Recursos
LAI-006118/2023;30/04/2023 12:32;9514;Informação incompleta;Primeira Instância;02/05/2023 00:00;08/05/2023 23:59;03/05/2023 15:09;Resposta do Recurso de Primeira Instância;Deferido;Respostas Para Recursos
LAI-006297/2023;26/04/2023 15:49;9693;Informação incompleta;Primeira Instância;27/04/2023 00:00;02/05/2023 23:59;26/04/2023 16:16;Resposta do Recurso de Primeira Instância;Deferido;Respostas Para Recursos
LAI-006312/2023;31/05/2023 13:21;9708;Informação incompleta;Primeira Instância;01/06/2023 00:00;05/06/2023 23:59;05/06/2023 23:25;Resposta do Recurso de Primeira Instância;Deferido;Respostas Para Recursos
LAI-006330/2023;23/05/2023 13:36;9726;Informação incompleta;Primeira Instância;24/05/2023 00:00;29/05/2023 23:59;29/05/2023 20:59;Resposta do Recurso de Primeira Instância;Deferido;Respostas Para Recursos
LAI-006399/2023;10/05/2023 19:04;9795;Informação incompleta;Primeira Instância;11/05/2023 00:00;15/05/2023 23:59;15/05/2023 09:03;Resposta do Recurso de Primeira Instância;Deferido;Respostas Para Recursos
LAI-006438/2023;09/05/2023 13:43;9834;Informação incompleta;Primeira Instância;10/05/2023 00:00;15/05/2023 23:59;10/05/2023 10:57;Resposta do Recurso de Primeira Instância;Deferido;Respostas Para Recursos
LAI-006563/2023;05/05/2023 13:44;9959;Informação incompleta;Primeira Instância;08/05/2023 00:00;12/05/2023 23:59;10/05/2023 08:59;Resposta do Recurso de Primeira Instância;Deferido;Respostas Para Recursos
LAI-006648/2023;15/05/2023 14:49;10044;Informação incompleta;Primeira Instância;16/05/2023 00:00;22/05/2023 23:59;21/05/2023 23:22;Resposta do Recurso de Primeira Instância;Deferido;Respostas Para Recursos
LAI-006693/2023;12/05/2023 13:42;11088;Informação incompleta;Primeira Instância;15/05/2023 00:00;19/05/2023 23:59;17/05/2023 17:27;Resposta do Recurso de Primeira Instância;Deferido;Respostas Para Recursos
LAI-006779/2023;28/04/2023 08:52;11174;Informação incompleta;Primeira Instância;02/05/2023 00:00;08/05/2023 23:59;03/05/2023 10:55;Resposta do Recurso de Primeira Instância;Deferido;Respostas Para Recursos
LAI-006867/2023;22/05/2023 21:24;11262;Informação incompleta;Primeira Instância;23/05/2023 00:00;29/05/2023 23:59;26/05/2023 17:11;Resposta do Recurso de Primeira Instância;Deferido;Respostas Para Recursos
LAI-006882/2023;21/05/2023 15:40;11277;Informação incompleta;Primeira Instância;22/05/2023 00:00;26/05/2023 23:59;26/05/2023 10:26;Resposta do Recurso de Primeira Instância;Deferido;Respostas Para Recursos
LAI-006914/2023;21/05/2023 15:43;11309;Informação incompleta;Primeira Instância;22/05/2023 00:00;26/05/2023 23:59;26/05/2023 10:49;Resposta do Recurso de Primeira Instância;Deferido;Respostas Para Recursos
LAI-006949/2023;15/05/2023 14:41;11344;Informação incompleta;Primeira Instância;16/05/2023 00:00;22/05/2023 23:59;16/05/2023 11:27;Resposta do Recurso de Primeira Instância;Deferido;Respostas Para Recursos
