orgao,ano,qtd_pedidos_lai,tempo_medio_resposta_dias,percentual_sem_resposta,percentual_acesso_concedido,percentual_acesso_negado,percentual_acesso_parcial,qtd_recursos_lai,taxa_recurso_lai
"ADASA - Agência Reguladora de Águas, Energia e Saneamento",2023,362,8.624866952232606,40.88397790055249,37.84530386740331,2.4861878453038675,0.2762430939226519,10,0.027624309392265192
Administração Arapoanga - RA XXXIV,2023,24,1.551937134502924,20.833333333333336,20.833333333333336,8.333333333333332,4.166666666666666,0,0.0
Administração Arniqueira - RA XXXIII,2023,146,6.0671780303030305,24.65753424657534,12.32876712328767,1.36986301369863,0.684931506849315,1,0.00684931506849315
Administração Brazlândia - RA IV,2023,99,22.785245433789957,26.262626262626267,79.7979797979798,1.0101010101010102,6.0606060606060606,2,0.020202020202020204
Administração Candangolândia - RA XIX,2023,59,5.833128156565656,25.423728813559322,27.11864406779661,3.389830508474576,5.084745762711865,1,0.01694915254237288
Administração Ceilândia - RA IX,2023,260,8.47882660366552,25.384615384615383,16.153846153846153,7.6923076923076925,7.307692307692308,9,0.03461538461538462
Administração Cruzeiro - RA XI,2023,56,12.64983660130719,39.285714285714285,39.285714285714285,3.571428571428571,1.7857142857142856,2,0.03571428571428571
Administração Fercal - RA XXXI,2023,39,50.52379115226337,30.76923076923077,30.76923076923077,7.6923076923076925,56.41025641025641,0,0.0
Administração Gama - RA II,2023,111,9.863815789473684,31.53153153153153,38.73873873873874,2.7027027027027026,9.90990990990991,4,0.036036036036036036
Administração Guará - RA X,2023,140,4.365521572104019,32.857142857142854,22.142857142857142,5.0,7.142857142857142,5,0.03571428571428571
Administração Itapoã - RA XXVIII,2023,61,4.984398148148148,26.229508196721312,18.0327868852459,0.0,6.557377049180328,2,0.03278688524590164
Administração Jardim Botânico - RA XXVII,2023,78,6.969864766081872,51.28205128205128,41.02564102564102,1.282051282051282,5.128205128205128,9,0.11538461538461539
Administração Lago Norte - RA-XVIII,2023,105,8.305121527777779,31.428571428571427,50.476190476190474,17.142857142857142,0.9523809523809524,3,0.02857142857142857
Administração Lago Sul - RA XVI,2023,64,2.888819444444444,53.125,57.8125,1.5625,17.1875,5,0.078125
Administração Núcleo Bandeirante - RA VIII,2023,65,5.2119263285024156,29.230769230769234,1.5384615384615385,1.5384615384615385,1.5384615384615385,2,0.03076923076923077
Administração Paranoá - RA VII,2023,62,3.7727506038647345,25.806451612903224,46.774193548387096,3.225806451612903,1.6129032258064515,2,0.03225806451612903
Administração Park Way - RA XXIV,2023,52,8.052163461538461,50.0,53.84615384615385,3.8461538461538463,9.615384615384617,5,0.09615384615384616
Administração Planaltina - RA VI,2023,132,6.7865789473684215,28.030303030303028,26.515151515151516,2.272727272727273,1.5151515151515151,3,0.022727272727272728
Administração Plano Piloto - RA I,2023,181,6.921765046296296,33.70165745856354,41.43646408839779,1.6574585635359116,2.7624309392265194,11,0.06077348066298342
Administração Recanto das Emas - RA XV,2023,70,11.86703354297694,24.285714285714285,22.857142857142858,7.142857142857142,5.714285714285714,1,0.014285714285714285
Administração Riacho Fundo I - RA XVII,2023,54,5.154823573573574,31.48148148148148,37.03703703703704,3.7037037037037033,0.0,2,0.037037037037037035
Administração Riacho Fundo II - RA XXI,2023,81,2.1807347670250894,23.456790123456788,18.51851851851852,1.2345679012345678,2.4691358024691357,1,0.012345679012345678
Administração S.C.I.A / Estrutural - RA XXV,2023,38,14.363744212962963,36.84210526315789,97.36842105263158,0.0,0.0,1,0.02631578947368421
Administração S.I.A - RA XXIX,2023,43,7.237654320987654,37.2093023255814,41.86046511627907,11.627906976744185,4.651162790697675,2,0.046511627906976744
Administração Samambaia - RA XII,2023,142,5.700805555555555,47.183098591549296,50.0,5.633802816901409,0.7042253521126761,29,0.20422535211267606
Administração Santa Maria - RA XIII,2023,88,8.518454218106996,38.63636363636363,71.5909090909091,4.545454545454546,5.681818181818182,5,0.056818181818181816
Administração Sobradinho - RA V,2023,106,5.12590811965812,38.67924528301887,29.245283018867923,1.8867924528301887,0.9433962264150944,5,0.04716981132075472
Administração Sobradinho II - RA XXVI,2023,74,5.8482716049382715,39.189189189189186,37.83783783783784,2.7027027027027026,5.405405405405405,5,0.06756756756756757
Administração Sol Nascente/Pôr do Sol - RA XXXII,2023,57,14.351426426426425,35.08771929824561,64.91228070175438,1.7543859649122806,5.263157894736842,1,0.017543859649122806
Administração Sudoeste / Octogonal - RA XXII,2023,45,7.176509661835749,48.888888888888886,48.888888888888886,8.88888888888889,2.2222222222222223,2,0.044444444444444446
Administração São Sebastião - RA XIV,2023,90,10.409511784511785,26.666666666666668,34.44444444444444,16.666666666666664,4.444444444444445,7,0.07777777777777778
Administração Taguatinga - RA III,2023,133,4.0095072751322745,36.84210526315789,21.804511278195488,2.2556390977443606,0.7518796992481203,6,0.045112781954887216
Administração Varjão - RA XXIII,2023,30,4.930473856209151,43.333333333333336,60.0,6.666666666666667,3.3333333333333335,2,0.06666666666666667
Administração Vicente Pires - RA XXX,2023,75,4.881582125603865,38.666666666666664,36.0,2.666666666666667,1.3333333333333335,2,0.02666666666666667
Administração Águas Claras - RA XX,2023,108,2.674689054726368,37.96296296296296,39.81481481481482,2.7777777777777777,5.555555555555555,5,0.046296296296296294
ArPDF - Arquivo Público do Distrito Federal,2023,67,11.898578811369509,35.82089552238806,49.25373134328358,5.970149253731343,0.0,4,0.05970149253731343
BRB - Banco de Brasília S/A,2023,180,5.8726153039832285,41.11111111111111,27.77777777777778,11.11111111111111,5.555555555555555,15,0.08333333333333333
CACI - Casa Civil do Distrito Federal,2023,137,,100.0,97.8102189781022,0.0,0.0,9,0.06569343065693431
CAESB - Companhia de Saneamento do Distrito Federal,2023,342,7.450715382467894,41.812865497076025,49.707602339181285,14.912280701754385,4.093567251461988,19,0.05555555555555555
CAMI-Casa Militar do Distrito Federal,2023,32,4.993896198830409,40.625,34.375,15.625,9.375,1,0.03125
CBMDF - Corpo de Bombeiros Militar do Distrito Federal,2023,823,4.369307324840765,80.92345078979343,96.23329283110571,0.6075334143377886,0.3645200486026731,12,0.014580801944106925
CEASA - Centrais de Abastecimento do Distrito Federal,2023,35,10.512892512077295,34.285714285714285,45.714285714285715,5.714285714285714,0.0,3,0.08571428571428572
CEB - Companhia Energética de Brasília,2023,93,9.552590388007054,32.25806451612903,20.43010752688172,9.67741935483871,35.483870967741936,2,0.021505376344086023
CGDF - Controladoria-Geral do Distrito Federal,2023,326,8.849796907756813,34.96932515337423,35.2760736196319,7.361963190184049,3.374233128834356,15,0.046012269938650305
CODHAB - Companhia de Desenvolvimento Habitacional do Distrito Federal,2023,269,21.673157225853306,43.12267657992565,62.825278810408925,8.178438661710038,7.806691449814126,29,0.10780669144981413
DER - Departamento de Estradas de Rodagem,2023,408,7.0246026976495735,49.01960784313725,66.17647058823529,13.970588235294118,0.7352941176470588,54,0.1323529411764706
DETRAN - Departamento de Trânsito,2023,823,14.487542700467458,62.454434993924664,48.48116646415553,13.730255164034022,4.738760631834751,63,0.07654921020656136
DFLEGAL - Secretaria de Estado de Proteção da Ordem Urbanística do Distrito Federal,2023,889,8.47953349014337,44.20697412823397,51.631046119235094,18.447694038245217,3.0371203599550056,60,0.06749156355455568
DPDF - Defensoria Pública do Distrito Federal,2023,172,8.695097340930674,31.976744186046513,34.30232558139535,8.720930232558139,4.651162790697675,10,0.05813953488372093
EMATER - Empresa de Assistência Técnica e Extensão Rural,2023,78,14.15920138888889,33.33333333333333,55.12820512820513,3.8461538461538463,1.282051282051282,4,0.05128205128205128
FAP - Fundação de Apoio à Pesquisa,2023,51,7.747527777777777,50.98039215686274,45.09803921568628,13.725490196078432,7.8431372549019605,5,0.09803921568627451
FEPECS - Fundação de Ensino e Pesquisa em Ciência da Saúde,2023,64,4.580508207070707,31.25,53.125,4.6875,7.8125,2,0.03125
FHB - Fundação Hemocentro de Brasília,2023,93,11.313848039215687,45.16129032258064,83.87096774193549,7.526881720430108,4.301075268817205,7,0.07526881720430108
FJZB - Fundação Jardim Zoológico de Brasilia,2023,41,9.127967171717172,46.34146341463415,56.09756097560976,4.878048780487805,2.4390243902439024,6,0.14634146341463414
FUNAP - Fundação de Amparo ao Trabalhador Preso,2023,34,8.38452380952381,38.23529411764706,47.05882352941176,0.0,2.941176470588235,1,0.029411764705882353
IBRAM - Instituto do Meio Ambiente e Recursos Hídricos do Distrito Federal - Brasília Ambiental,2023,573,10.80252962962963,34.55497382198953,54.45026178010471,5.7591623036649215,5.2356020942408374,28,0.04886561954624782
INAS - Instituto de Assistência à Saúde dos Servidores do DF,2023,186,6.3656250000000005,59.13978494623656,59.13978494623656,3.763440860215054,3.225806451612903,10,0.053763440860215055
IPEDF - Instituto de Pesquisa e Estatística do Distrito Federal - Codeplan,2023,89,7.100625,43.82022471910113,56.17977528089888,2.247191011235955,7.865168539325842,8,0.0898876404494382
IPREV/DF - Instituto de Previdência dos Servidores,2023,87,8.529215399610136,34.48275862068966,56.32183908045977,9.195402298850574,2.2988505747126435,3,0.034482758620689655
JBB - Jardim Botânico de Brasília,2023,29,7.946657986111111,44.827586206896555,62.06896551724138,0.0,3.4482758620689653,1,0.034482758620689655
"JUCIS-DF - Junta Comercial, Industrial e Serviços do Distrito Federal",2023,96,3.6086982109227868,38.54166666666667,41.66666666666667,9.375,5.208333333333334,5,0.052083333333333336
METRÔ - Companhia do Metropolitano do Distrito Federal,2023,145,16.22489814814815,48.275862068965516,74.48275862068967,6.206896551724138,1.3793103448275863,8,0.05517241379310345
NOVACAP - Companhia Urbanizadora da Nova Capital do Brasil,2023,512,10.124932199211045,33.984375,52.5390625,2.9296875,3.3203125,25,0.048828125
PCDF - Polícia Civil do Distrito Federal,2023,592,11.141554659498208,68.58108108108108,91.8918918918919,3.3783783783783785,0.0,32,0.05405405405405406
PGDF - Procuradoria Geral do Distrito Federal,2023,294,9.415639554224883,43.197278911564624,54.421768707483,12.925170068027212,18.367346938775512,12,0.04081632653061224
PMDF - Polícia Militar do Distrito Federal,2023,386,9.838088118022329,45.854922279792746,53.36787564766839,17.616580310880828,9.844559585492227,37,0.09585492227979274
PROCON/DF - Instituto de Defesa do Consumidor do Distrito Federal,2023,136,4.177153558052434,34.55882352941176,36.029411764705884,2.941176470588235,0.0,7,0.051470588235294115
SDE - Secretaria de Estado de Desenvolvimento Econômico do Distrito Federal,2023,13,7.750833333333334,23.076923076923077,30.76923076923077,7.6923076923076925,0.0,0,0.0
SEAC - Secretaria de Atendimento à Comunidade,2023,56,8.166203703703703,30.357142857142854,17.857142857142858,0.0,3.571428571428571,1,0.017857142857142856
"SEAGRI - Secretaria de Estado da Agricultura, Abastecimento e Desenvolvimento Rural do Distrito Federal",2023,290,5.333524659863946,66.20689655172414,46.89655172413793,17.24137931034483,1.7241379310344827,81,0.2793103448275862
SEAPE - Secretaria de Estado de Administração Penitenciária,2023,168,13.850210970464136,52.976190476190474,66.07142857142857,8.928571428571429,5.952380952380952,12,0.07142857142857142
SECEC - Secretaria de Estado de Cultura e Econ. Criativa do DF,2023,176,10.816687710437712,43.75,68.18181818181817,12.5,7.954545454545454,21,0.11931818181818182
SECOM - Secretaria de Estado de Comunicação do Distrito Federal,2023,61,4.429791666666667,34.42622950819672,50.81967213114754,6.557377049180328,4.918032786885246,5,0.08196721311475409
"SECTI - Secretaria de Estado de Ciência, Tecnologia e Inovação do Distrito Federal",2023,62,14.371244855967078,56.451612903225815,69.35483870967742,0.0,3.225806451612903,0,0.0
