ano,regiao_administrativa,ra_chave,populacao_total,populacao_masculina,populacao_feminina,populacao_0_14,populacao_15_59,populacao_60_mais
2023,Arniqueira,arniqueira,47516.0,23191.0,24325.0,8875.0,33832.0,4809.0
2024,Arniqueira,arniqueira,47767.0,23319.0,24448.0,8695.000000000002,34010.0,5062.0
2025,Arniqueira,arniqueira,47932.0,23407.0,24525.0,8525.0,34090.0,5317.0
2023,Brazlândia,brazlandia,65773.0,32287.0,33486.0,13959.0,44159.0,7655.0
2024,Brazlândia,brazlandia,66304.0,32521.0,33783.0,13871.000000000002,44418.0,8015.0
2025,Brazlândia,brazlandia,66729.0,32702.0,34027.0,13792.0,44554.0,8383.0
2023,Candangolândia,candangolandia,16216.0,7750.0,8466.0,2788.0,10814.0,2614.0
2024,Candangolândia,candangolandia,16170.0,7730.0,8440.0,2748.0,10703.0,2719.0
2025,Candangolândia,candangolandia,16093.999999999998,7695.999999999998,8398.0,2710.0,10564.999999999998,2819.0
2023,Ceilândia,ceilandia,355620.0,168550.0,187070.0,66820.99999999999,241336.0,47463.0
2024,Ceilândia,ceilandia,356361.0,168814.99999999994,187546.0,65970.0,241256.99999999997,49134.0
2025,Ceilândia,ceilandia,356548.00000000006,168821.00000000003,187727.0,65164.000000000044,240551.0,50833.0
2023,Cruzeiro,cruzeiro,30650.000000000004,14100.999999999998,16549.000000000004,3717.0000000000027,20816.0,6117.0
2024,Cruzeiro,cruzeiro,30568.0,14068.0,16500.0,3643.000000000002,20591.0,6334.0
2025,Cruzeiro,cruzeiro,30441.0,14020.0,16421.000000000004,3573.000000000002,20309.0,6559.0
2023,Fercal,fercal,9510.0,4816.0,4694.0,2452.0,6302.0,756.0
2024,Fercal,fercal,9517.0,4816.0,4701.0,2431.0,6289.0,797.0
2025,Fercal,fercal,9508.0,4806.0,4702.0,2412.0,6263.0,833.0
2023,Gama,gama,145723.0,70528.0,75195.0,23349.0,101410.0,20964.0
2024,Gama,gama,146319.0,70939.0,75380.0,23023.0,101384.0,21912.0
2025,Gama,gama,146705.0,71254.0,75451.0,22708.0,101118.0,22879.0
2023,Guará,guara,144079.0,66844.0,77235.0,24189.0,96553.0,23337.0
